,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
Stanford Dogs,0.9922,0.9128,0.9933,0.9864,0.9528,0.0072,0.9128,0.9928,0.0072,0.0872,0.9951,0.9150,0.9965,0.8815,0.9943,0.8340,0.9134,0.9550,0.9146,1.0000,0.8340,0.9952,0.0048,0.1660,0.9951,0.9040,0.9956,0.8818,0.9910,0.9652,0.9782,0.9868,0.9782,0.0088,0.9652,0.9912,0.0088,0.0348,0.9944,0.9810,0.9340,0.8865
AFHQ Cats,0.9974,0.9128,0.9958,0.9924,0.9552,0.0028,0.9128,0.9976,0.0024,0.0872,0.9951,0.9278,0.9955,0.9463,1.0000,0.8332,0.9164,0.9582,0.9166,1.0000,0.8332,1.0000,0.0000,0.1668,0.9950,0.0000,0.9946,0.9464,0.9983,0.9644,0.9814,0.9903,0.9814,0.0016,0.9644,0.9984,0.0016,0.0356,0.9943,0.8522,0.9357,0.9352
Fake CIFAR-10,0.7762,0.9128,0.8818,0.8450,0.8248,0.2708,0.9128,0.7368,0.2632,0.0872,0.9952,0.9413,0.9944,0.9354,0.7784,0.8332,0.7994,0.8485,0.7980,1.0000,0.8332,0.7628,0.2372,0.1668,0.9951,0.9317,0.9944,0.9329,0.7917,0.9672,0.8564,0.8877,0.8564,0.2544,0.9672,0.7456,0.2544,0.0328,0.9944,0.9933,0.9279,0.9137
SVHN,0.8848,0.9128,0.9378,0.9037,0.8970,0.1232,0.9128,0.8812,0.1188,0.0872,0.9950,0.8939,0.9969,0.8968,0.9202,0.8304,0.8796,0.9181,0.8792,1.0000,0.8304,0.9280,0.0720,0.1696,0.9952,0.9028,0.9952,0.8980,0.9184,0.9676,0.9408,0.9511,0.9408,0.0860,0.9676,0.9140,0.0860,0.0324,0.9945,0.9517,0.9260,0.8659
Permuted,0.9870,0.9128,0.9876,0.9692,0.9504,0.0128,0.9128,0.9880,0.0120,0.0872,0.9952,0.8641,0.9946,0.8649,0.8778,0.8332,0.8582,0.8970,0.8586,1.0000,0.8332,0.8840,0.1160,0.1668,0.9951,0.8769,0.9959,0.8610,0.9906,0.9664,0.9786,0.9869,0.9786,0.0092,0.9664,0.9908,0.0092,0.0336,0.9944,0.9346,0.9292,0.9421
No Normalization,0.9769,0.9128,0.9822,0.9600,0.9456,0.0240,0.9128,0.9784,0.0216,0.0872,0.9951,0.8549,0.9942,0.8689,0.9976,0.8312,0.9152,0.9569,0.9146,1.0000,0.8312,0.9980,0.0020,0.1688,0.9953,0.9026,0.9952,0.8702,0.9889,0.9604,0.9748,0.9845,0.9748,0.0108,0.9604,0.9892,0.0108,0.0396,0.9947,0.9692,0.9329,0.8772
STL-10,0.6533,0.9128,0.7435,0.6726,0.7142,0.5076,0.9128,0.5156,0.4844,0.0872,0.9951,0.9061,0.9941,0.9039,0.6857,0.8308,0.7268,0.8017,0.7250,1.0000,0.8308,0.6192,0.3808,0.1692,0.9950,0.9108,0.9947,0.9076,0.6928,0.9644,0.7684,0.8375,0.7684,0.4276,0.9644,0.5724,0.4276,0.0356,0.9944,0.9889,0.9332,0.8492
Scaled,0.9773,0.9128,0.9805,0.9476,0.9458,0.0240,0.9128,0.9788,0.0212,0.0872,0.9950,0.9418,0.9953,0.9233,0.9188,0.8324,0.8788,0.9169,0.8794,1.0000,0.8324,0.9264,0.0736,0.1676,0.9951,0.9365,0.9954,0.9229,0.9449,0.9664,0.9550,0.9640,0.9550,0.0564,0.9664,0.9436,0.0564,0.0336,0.9944,0.9387,0.9307,0.9236
CIFAR-10,0.6043,0.9128,0.7051,0.6527,0.6576,0.6268,0.9128,0.4024,0.5976,0.0872,0.9952,0.9285,0.9950,0.9311,0.6147,0.8316,0.6566,0.7662,0.6552,1.0000,0.8316,0.4788,0.5212,0.1684,0.9952,0.9288,0.9950,0.9273,0.6329,0.9684,0.7034,0.8086,0.7034,0.5616,0.9684,0.4384,0.5616,0.0316,0.9943,0.9907,0.9304,0.8397
AFHQ Dogs,0.9956,0.9128,0.9948,0.9915,0.9544,0.0040,0.9128,0.9960,0.0040,0.0872,0.9952,0.9062,0.9949,0.9272,0.9990,0.8340,0.9158,0.9576,0.9166,1.0000,0.8340,0.9992,0.0008,0.1660,0.9949,0.9986,0.9939,0.9273,0.9983,0.9636,0.9810,0.9901,0.9810,0.0016,0.9636,0.9984,0.0016,0.0364,0.9945,0.9411,0.9320,0.9242
