,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
CIFAR100,0.9928,0.9412,0.9826,0.9783,0.9672,0.0064,0.9412,0.9932,0.0068,0.0588,0.9843,0.8427,0.9919,0.8187,0.9955,0.8764,0.9362,0.9670,0.9362,1.0000,0.8764,0.9960,0.0040,0.1236,0.9838,0.7922,0.9834,0.8182,0.9950,0.9504,0.9728,0.9851,0.9728,0.0048,0.9504,0.9952,0.0048,0.0496,0.9928,0.9101,0.8176,0.8182
Permuted,0.9755,0.9380,0.9663,0.9082,0.9572,0.0244,0.9380,0.9764,0.0236,0.0620,0.9846,0.7771,0.9883,0.8040,0.9708,0.8788,0.9244,0.9541,0.9262,1.0000,0.8788,0.9736,0.0264,0.1212,0.9836,0.7975,0.9821,0.8024,0.9629,0.9344,0.9492,0.9651,0.9492,1.0000,0.9344,0.9640,0.0360,0.0656,0.9624,0.5952,0.7656,0.6916
Stanford Dogs,0.9903,0.9408,0.9815,0.9777,0.9658,0.0088,0.9408,0.9908,0.0092,0.0592,0.9841,0.8799,0.9774,0.8528,0.9945,0.8744,0.9352,0.9661,0.9348,1.0000,0.8744,0.9952,0.0048,0.1256,0.9839,0.9653,0.9845,0.8535,0.9921,0.9500,0.9712,0.9835,0.9712,0.0076,0.9500,0.9924,0.0076,0.0500,0.9930,0.8964,0.8201,0.8530
STL-10,0.6476,0.9408,0.7011,0.6002,0.7144,0.5248,0.9408,0.4880,0.5120,0.0592,0.9839,0.8680,0.9790,0.8724,0.7093,0.8776,0.7558,0.8222,0.7590,1.0000,0.8776,0.6404,0.3596,0.1224,0.9839,0.8623,0.9862,0.8702,0.6730,0.9516,0.7446,0.8244,0.7446,0.4624,0.9516,0.5376,0.4624,0.0484,0.9927,0.9659,0.8159,0.7859
CIFAR-10,0.5915,0.9384,0.6484,0.5808,0.6452,0.6568,0.9384,0.3520,0.6480,0.0616,0.9841,0.9068,0.9901,0.9011,0.6307,0.8756,0.6808,0.7840,0.6814,1.0000,0.8756,0.4872,0.5128,0.1244,0.9837,0.8998,0.9815,0.9092,0.6097,0.9392,0.6690,0.7897,0.6690,1.0000,0.9392,0.3988,0.6012,0.0608,0.9618,0.9356,0.7642,0.7024
Scaled,0.9700,0.9428,0.9579,0.8911,0.9568,0.0360,0.9428,0.9708,0.0292,0.0572,0.9839,0.5882,0.9848,0.5944,0.9891,0.8736,0.9338,0.9639,0.9320,1.0000,0.8736,0.9904,0.0096,0.1264,0.9849,0.6835,0.9867,0.5946,0.9597,0.9524,0.9562,0.9679,0.9562,0.0400,0.9524,0.9600,0.0400,0.0476,0.9935,0.4323,0.7986,0.6006
AFHQ Cats,0.9958,0.9384,0.9846,0.9800,0.9672,0.0048,0.9384,0.9960,0.0040,0.0616,0.9840,0.8725,0.9850,0.9317,0.9995,0.8728,0.9384,0.9689,0.9362,1.0000,0.8728,0.9996,0.0004,0.1272,0.9836,0.7902,0.9816,0.9316,0.9975,0.9532,0.9754,0.9870,0.9754,0.0024,0.9532,0.9976,0.0024,0.0468,0.9927,0.9299,0.8112,0.9316
AFHQ Dogs,0.9992,0.9408,0.9859,0.9911,0.9700,0.0012,0.9408,0.9992,0.0008,0.0592,0.9839,0.8414,0.9900,0.9251,0.9995,0.8776,0.9378,0.9688,0.9386,1.0000,0.8776,0.9996,0.0004,0.1224,0.9845,1.0000,0.9851,0.9249,0.9992,0.9452,0.9722,0.9859,0.9722,1.0000,0.9452,0.9992,0.0008,0.0548,0.9936,0.9299,0.8243,0.9258
No Normalization,0.9322,0.9408,0.9399,0.8530,0.9362,0.0732,0.9408,0.9316,0.0684,0.0592,0.9837,0.7762,0.9831,0.7628,0.9936,0.8740,0.9358,0.9660,0.9342,1.0000,0.8740,0.9944,0.0056,0.1260,0.9836,0.7641,0.9857,0.7612,0.9761,0.9492,0.9630,0.9754,0.9630,1.0000,0.9492,0.9768,0.0232,0.0508,0.9932,0.9121,0.8168,0.7570
SVHN,0.8908,0.9400,0.9171,0.8428,0.9124,0.1188,0.9400,0.8848,0.1152,0.0600,0.9842,0.8451,0.9928,0.8371,0.9510,0.8764,0.9158,0.9447,0.9156,1.0000,0.8764,0.9548,0.0452,0.1236,0.9834,0.8499,0.9882,0.8354,0.9264,0.9512,0.9378,0.9510,0.9378,0.0756,0.9512,0.9244,0.0756,0.0488,0.9924,0.9590,0.8234,0.8261
Fake CIFAR-10,0.7679,0.9424,0.8446,0.7789,0.8288,0.2892,0.9424,0.7152,0.2848,0.0576,0.9845,0.9173,0.9907,0.9183,0.7874,0.8756,0.8222,0.8644,0.8196,1.0000,0.8756,0.7636,0.2364,0.1244,0.9845,0.9227,0.9844,0.9201,0.7794,0.9540,0.8420,0.8782,0.8420,0.2700,0.9540,0.7300,0.2700,0.0460,0.9925,0.9813,0.8112,0.8986
