,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
Scaled,0.9950,0.9596,0.9888,0.9777,0.9774,0.0048,0.9596,0.9952,0.0048,0.0404,0.9876,0.8839,0.9885,0.9338,0.9959,0.8816,0.9396,0.9687,0.9390000000000001,1.0000,0.8816,0.9964,0.0036,0.1184,0.9875,0.9665,0.9852,0.9340,0.9962,0.9332,0.9648,0.9814,0.9648,1.0000,0.9332,0.9964,0.0036,0.0668,0.9934,0.7620,0.9097,0.9347
Original,0.5974,0.9596,0.6590,0.5868,0.6564,0.6380,0.9596,0.3532,0.6468,0.0404,0.9879,0.9292,0.9801,0.9311,0.6304,0.8816,0.6832,0.7865,0.6824,1.0000,0.8816,0.4832,0.5168,0.1184,0.9875,0.9290,0.9897,0.9268,0.6215,0.9348,0.6828,0.7945,0.6828,1.0000,0.9348,0.4308,0.5692,0.0652,0.9936,0.9890,0.9051,0.8483
CIFAR100,0.9942,0.9596,0.9886,0.9804,0.977,0.0056,0.9596,0.9944,0.0056,0.0404,0.9878,0.7681,0.9917,0.8621,0.9986,0.8808,0.9390,0.9689,0.9398,1.0000,0.8808,0.9988,0.0012,0.1192,0.9876,0.9371,0.9889,0.8623,0.9966,0.9360,0.9664,0.9823,0.9664,1.0000,0.9360,0.9968,0.0032,0.0640,0.9934,0.9322,0.9052,0.8622
AFHQ Dogs,0.9992,0.9596,0.9921,0.9939,0.9794,0.0008,0.9596,0.9992,0.0008,0.0404,0.9877,0.9901,0.9864,0.9277,0.9995,0.8804,0.9402,0.9700,0.9400000000000001,1.0000,0.8804,0.9996,0.0004,0.1196,0.9876,0.9334,0.9877,0.9278,0.9996,0.9280,0.9638,0.9818,0.9638,1.0000,0.9280,0.9996,0.0004,0.0720,0.9934,0.9860,0.9159,0.9276
Fake CIFAR-10,0.7754,0.9596,0.8511,0.7777,0.8408,0.2748,0.9596,0.7220,0.2780,0.0404,0.9877,0.9296,0.9869,0.9297,0.7905,0.8816,0.8244,0.8659,0.8240000000000001,1.0000,0.8816,0.7664,0.2336,0.1184,0.9888,0.9303,0.9900,0.9279,0.7891,0.9308,0.8410,0.8772,0.8410,1.0000,0.9308,0.7512,0.2488,0.0692,0.9934,0.9883,0.9122,0.9087
AFHQ Cats,0.9909,0.9596,0.9861,0.9723,0.9754,0.0088,0.9596,0.9912,0.0088,0.0404,0.9877,0.9198,0.9853,0.9449,0.9982,0.8816,0.9396,0.9694,0.94,1.0000,0.8816,0.9984,0.0016,0.1184,0.9875,0.8038,0.9864,0.9449,0.9974,0.9332,0.9654,0.9820,0.9654,1.0000,0.9332,0.9976,0.0024,0.0668,0.9936,0.9850,0.9067,0.9448
No Normalization,0.9562,0.9596,0.9636,0.9100,0.9578,0.0436,0.9596,0.9560,0.0440,0.0404,0.9877,0.8583,0.9909,0.8814,0.9986,0.8800,0.9396,0.9693,0.9394,1.0000,0.8800,0.9988,0.0012,0.1200,0.9878,0.9911,0.9894,0.8797,0.9928,0.9336,0.9634,0.9798,0.9634,1.0000,0.9336,0.9932,0.0068,0.0664,0.9936,0.9925,0.9069,0.8789
STL-10,0.6549,0.9596,0.7110,0.5867,0.727,0.4940,0.9596,0.4944,0.5056,0.0404,0.9878,0.8960,0.9859,0.8990,0.7259,0.8824,0.7724,0.8322,0.7746000000000001,1.0000,0.8824,0.6668,0.3332,0.1176,0.9881,0.9004,0.9855,0.8967,0.7085,0.9316,0.7742,0.8372,0.7742,1.0000,0.9316,0.6168,0.3832,0.0684,0.9935,0.9862,0.9099,0.8436
SVHN,0.8975,0.9596,0.9226,0.8233,0.925,0.1092,0.9596,0.8904,0.1096,0.0404,0.9878,0.8245,0.9852,0.8366,0.9637,0.8820,0.9230,0.9514,0.9244,1.0000,0.8820,0.9668,0.0332,0.1180,0.9875,0.8421,0.9906,0.8352,0.9470,0.9356,0.9416,0.9574,0.9416,1.0000,0.9356,0.9476,0.0524,0.0644,0.9934,0.9448,0.9058,0.8292
Stanford Dogs,0.9901,0.9596,0.9865,0.9757,0.975,0.0096,0.9596,0.9904,0.0096,0.0404,0.9876,0.7924,0.9891,0.8758,0.9933,0.8832,0.9370,0.9665,0.9386,1.0000,0.8832,0.9940,0.0060,0.1168,0.9871,0.9067,0.9894,0.8757,0.9940,0.9348,0.9646,0.9807,0.9646,1.0000,0.9348,0.9944,0.0056,0.0652,0.9933,0.9943,0.9086,0.8750
