,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
No Normalization,0.9608,0.9320,0.9569,0.9222,0.9470000000000001,0.0396,0.9320,0.9620,0.0380,0.0680,0.9900,0.8004,0.9944,0.8134,0.9942,0.8932,0.9436,0.9704,0.944,1.0000,0.8932,0.9948,0.0052,0.1068,0.9910,0.7925,0.9904,0.8118,0.9835,0.9308,0.9576,0.9745,0.9576,1.0000,0.9308,0.9844,0.0156,0.0692,0.9981,0.9773,0.8787,0.8031
STL-10,0.6703,0.9320,0.7356,0.6388,0.7368,0.4768,0.9320,0.5416,0.4584,0.0680,0.9901,0.9032,0.9931,0.9103,0.7039,0.8908,0.7580,0.8245,0.758,1.0000,0.8908,0.6252,0.3748,0.1092,0.9900,0.9089,0.9884,0.9083,0.6935,0.9296,0.7594,0.8292,0.7594,1.0000,0.9296,0.5892,0.4108,0.0704,0.9981,0.9917,0.8809,0.8392
AFHQ Dogs,0.9915,0.9320,0.9759,0.9714,0.962,0.0084,0.9320,0.9920,0.0080,0.0680,0.9900,0.8788,0.9965,0.9315,0.9978,0.8880,0.9444,0.9716,0.9430000000000001,1.0000,0.8880,0.9980,0.0020,0.1120,0.9903,0.8488,0.9883,0.9316,0.9996,0.9276,0.9636,0.9817,0.9636,1.0000,0.9276,0.9996,0.0004,0.0724,0.9977,0.9995,0.8883,0.9416
Stanford Dogs,0.9928,0.9320,0.9791,0.9835,0.9626,0.0068,0.9320,0.9932,0.0068,0.0680,0.9901,0.9128,0.9816,0.8843,0.9946,0.8904,0.9434,0.9702,0.9428000000000001,1.0000,0.8904,0.9952,0.0048,0.1096,0.9900,0.8782,0.9856,0.8838,0.9936,0.9312,0.9626,0.9796,0.9626,1.0000,0.9312,0.9940,0.0060,0.0688,0.9980,0.9564,0.8791,0.8834
Scaled,0.9991,0.9320,0.9826,0.9912,0.9656,0.0008,0.9320,0.9992,0.0008,0.0680,0.9903,1.0000,0.9900,0.9982,0.9996,0.8916,0.9454,0.9727,0.9456,1.0000,0.8916,0.9996,0.0004,0.1084,0.9898,1.0000,0.9902,0.9982,0.9489,0.9292,0.9396,0.9568,0.9396,1.0000,0.9292,0.9500,0.0500,0.0708,0.9978,0.9776,0.8847,0.9912
CIFAR-10,0.5994,0.9320,0.6642,0.6018,0.6546000000000001,0.6440,0.9320,0.3772,0.6228,0.0680,0.9901,0.9276,0.9851,0.9310,0.6241,0.8900,0.6776,0.7849,0.677,1.0000,0.8900,0.4640,0.5360,0.1100,0.9896,0.9303,0.9933,0.9217,0.6183,0.9332,0.6786,0.7925,0.6786,1.0000,0.9332,0.4240,0.5760,0.0668,0.9976,0.9931,0.8803,0.8423
Permuted,0.9923,0.9320,0.9777,0.9738,0.9624,0.0072,0.9320,0.9928,0.0072,0.0680,0.9899,0.9822,0.9854,0.9518,0.9960,0.8896,0.9422,0.9700,0.943,1.0000,0.8896,0.9964,0.0036,0.1104,0.9901,0.9699,0.9913,0.9516,0.9671,0.9292,0.9488,0.9659,0.9488,1.0000,0.9292,0.9684,0.0316,0.0708,0.9980,0.8912,0.8820,0.8450
CIFAR100,0.9957,0.9320,0.9799,0.9826,0.964,0.0040,0.9320,0.9960,0.0040,0.0680,0.9898,0.9386,0.9886,0.8659,0.9960,0.8924,0.9444,0.9712,0.9444,1.0000,0.8924,0.9964,0.0036,0.1076,0.9899,0.8452,0.9887,0.8659,0.9949,0.9328,0.9640,0.9806,0.9640,1.0000,0.9328,0.9952,0.0048,0.0672,0.9980,0.9321,0.8762,0.8591
AFHQ Cats,0.9974,0.9320,0.9805,0.9829,0.9648000000000001,0.0024,0.9320,0.9976,0.0024,0.0680,0.9904,0.8376,0.9855,0.9236,1.0000,0.8900,0.9438,0.9719,0.9450000000000001,1.0000,0.8900,1.0000,0.0000,0.1100,0.9901,0.0000,0.9915,0.9233,0.9978,0.9268,0.9624,0.9806,0.9624,1.0000,0.9268,0.9980,0.0020,0.0732,0.9980,0.9838,0.8866,0.9466
Fake CIFAR-10,0.7736,0.9320,0.8536,0.8046,0.8296,0.2804,0.9320,0.7272,0.2728,0.0680,0.9904,0.9421,0.9859,0.9419,0.7824,0.8888,0.8204,0.8631,0.8208,1.0000,0.8888,0.7528,0.2472,0.1112,0.9897,0.9368,0.9904,0.9416,0.7876,0.9300,0.8396,0.8763,0.8396,1.0000,0.9300,0.7492,0.2508,0.0700,0.9979,0.9954,0.8822,0.9230
