,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack FPR@95%TPR,AugmentationAttack FPR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,GapAttack Precision,GapAttack Recall,GapAttack AUROC,GapAttack AUPR,GapAttack FPR@95%TPR,GapAttack FPR,GapAttack TP_MMPS,GapAttack FP_MMPS,GapAttack FN_MMPS,GapAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack FPR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS
AFHQ Cats,0,0,0,0,0,0,0,0.9295,0,0,0,0,0,0,0,0,0,0.9609,0,0,0,0,0,0,0,0,0,0.9273,0,0
AFHQ Dogs,0,0,0,0,0,0,0,0.9274,0,0,0,0,0,0,0,0,0,0.9609,0,0,0,0,0,0,0,0,0,0.9308,0,0
CIFAR-100,0,0,0,0,0,0,0,0.9255,0,0,0,0,0,0,0,0,0,0.9609,0,0,0,0,0,0,0,0,0,0.933,0,0
Fake CIFAR-10,0,0,0,0,0,0,0,0.9267,0,0,0,0,0,0,0,0,0,0.9609,0,0,0,0,0,0,0,0,0,0.9261,0,0
No Normalization,0,0,0,0,0,0,0,0.9321,0,0,0,0,0,0,0,0,0,0.9609,0,0,0,0,0,0,0,0,0,0.9286,0,0
Original,0,0,0,0,0,0,0,0.9267,0,0,0,0,0,0,0,0,0,0.9609,0,0,0,0,0,0,0,0,0,0.931,0,0
Permuted,0,0,0,0,0,0,0,0.9329,0,0,0,0,0,0,0,0,0,0.9609,0,0,0,0,0,0,0,0,0,0.9346,0,0
Scaled,0,0,0,0,0,0,0,0.9296,0,0,0,0,0,0,0,0,0,0.9609,0,0,0,0,0,0,0,0,0,0.9287,0,0
Stanford Dogs,0,0,0,0,0,0,0,0.9311,0,0,0,0,0,0,0,0,0,0.9609,0,0,0,0,0,0,0,0,0,0.9294,0,0
STL-10,0,0,0,0,0,0,0,0.9329,0,0,0,0,0,0,0,0,0,0.9609,0,0,0,0,0,0,0,0,0,0.9323,0,0
SVHN,0,0,0,0,0,0,0,0.9296,0,0,0,0,0,0,0,0,0,0.9609,0,0,0,0,0,0,0,0,0,0.93,0,0
