,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack FPR@95%TPR,AugmentationAttack FPR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack FPR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS
Original,0.5915,0.9384,0.6484,0.5808,0.6568,0.6480,0.9841,0.9068,0.9901,0.9011,0.6307,0.8756,0.6808,0.7840,1.0000,0.5128,0.9837,0.8998,0.9815,0.9092
Permuted,0.9755,0.9380,0.9663,0.9082,0.0244,0.0236,0.9846,0.7771,0.9883,0.8040,0.9708,0.8788,0.9244,0.9541,1.0000,0.0264,0.9836,0.7975,0.9821,0.8024
Scaled,0.9700,0.9428,0.9579,0.8911,0.0360,0.0292,0.9839,0.5882,0.9848,0.5944,0.9891,0.8736,0.9338,0.9639,1.0000,0.0096,0.9849,0.6835,0.9867,0.5946
No Normalization,0.9322,0.9408,0.9399,0.8530,0.0732,0.0684,0.9837,0.7762,0.9831,0.7628,0.9936,0.8740,0.9358,0.9660,1.0000,0.0056,0.9836,0.7641,0.9857,0.7612
STL-10,0.6476,0.9408,0.7011,0.6002,0.5248,0.5120,0.9839,0.8680,0.9790,0.8724,0.7093,0.8776,0.7558,0.8222,1.0000,0.3596,0.9839,0.8623,0.9862,0.8702
CIFAR100,0.9928,0.9412,0.9826,0.9783,0.0064,0.0068,0.9843,0.8427,0.9919,0.8187,0.9955,0.8764,0.9362,0.9670,1.0000,0.0040,0.9838,0.7922,0.9834,0.8182
SVHN,0.8908,0.9400,0.9171,0.8428,0.1188,0.1152,0.9842,0.8451,0.9928,0.8371,0.9510,0.8764,0.9158,0.9447,1.0000,0.0452,0.9834,0.8499,0.9882,0.8354
Stanford Dogs,0.9903,0.9408,0.9815,0.9777,0.0088,0.0092,0.9841,0.8799,0.9774,0.8528,0.9945,0.8744,0.9352,0.9661,1.0000,0.0048,0.9839,0.9653,0.9845,0.8535
Fake CIFAR-10,0.7679,0.9424,0.8446,0.7789,0.2892,0.2848,0.9845,0.9173,0.9907,0.9183,0.7874,0.8756,0.8222,0.8644,1.0000,0.2364,0.9845,0.9227,0.9844,0.9201
AFHQ Dogs,0.9992,0.9408,0.9859,0.9911,0.0012,0.0008,0.9839,0.8414,0.9900,0.9251,0.9995,0.8776,0.9378,0.9688,1.0000,0.0004,0.9845,1.0000,0.9851,0.9249
AFHQ Cats,0.9958,0.9384,0.9846,0.9800,0.0048,0.0040,0.9840,0.8725,0.9850,0.9317,0.9995,0.8728,0.9384,0.9689,1.0000,0.0004,0.9836,0.7902,0.9816,0.9316
