,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack FPR@95%TPR,AugmentationAttack FPR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack FPR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS
Original,0.5974,0.9596,0.6590,0.5868,0.6380,0.6468,0.9879,0.9292,0.9801,0.9311,0.6304,0.8816,0.6832,0.7865,1.0000,0.5168,0.9875,0.9290,0.9897,0.9268
Permuted,0.9979,0.9596,0.9919,0.9929,0.0016,0.0020,0.9878,0.9960,0.9910,0.9709,1.0000,0.8796,0.9412,0.9705,1.0000,0.0000,0.9874,0.9984,0.9893,0.9709
Scaled,0.9950,0.9596,0.9888,0.9777,0.0048,0.0048,0.9876,0.8839,0.9885,0.9338,0.9959,0.8816,0.9396,0.9687,1.0000,0.0036,0.9875,0.9665,0.9852,0.9340
No Normalization,0.9562,0.9596,0.9636,0.9100,0.0436,0.0440,0.9877,0.8583,0.9909,0.8814,0.9986,0.8800,0.9396,0.9693,1.0000,0.0012,0.9878,0.9911,0.9894,0.8797
STL-10,0.6549,0.9596,0.7110,0.5867,0.4940,0.5056,0.9878,0.8960,0.9859,0.8990,0.7259,0.8824,0.7724,0.8322,1.0000,0.3332,0.9881,0.9004,0.9855,0.8967
CIFAR100,0.9942,0.9596,0.9886,0.9804,0.0056,0.0056,0.9878,0.7681,0.9917,0.8621,0.9986,0.8808,0.9390,0.9689,1.0000,0.0012,0.9876,0.9371,0.9889,0.8623
SVHN,0.8975,0.9596,0.9226,0.8233,0.1092,0.1096,0.9878,0.8245,0.9852,0.8366,0.9637,0.8820,0.9230,0.9514,1.0000,0.0332,0.9875,0.8421,0.9906,0.8352
Stanford Dogs,0.9901,0.9596,0.9865,0.9757,0.0096,0.0096,0.9876,0.7924,0.9891,0.8758,0.9933,0.8832,0.9370,0.9665,1.0000,0.0060,0.9871,0.9067,0.9894,0.8757
Fake CIFAR-10,0.7754,0.9596,0.8511,0.7777,0.2748,0.2780,0.9877,0.9296,0.9869,0.9297,0.7905,0.8816,0.8244,0.8659,1.0000,0.2336,0.9888,0.9303,0.9900,0.9279
AFHQ Dogs,0.9992,0.9596,0.9921,0.9939,0.0008,0.0008,0.9877,0.9901,0.9864,0.9277,0.9995,0.8804,0.9402,0.9700,1.0000,0.0004,0.9876,0.9334,0.9877,0.9278
AFHQ Cats,0.9909,0.9596,0.9861,0.9723,0.0088,0.0088,0.9877,0.9198,0.9853,0.9449,0.9982,0.8816,0.9396,0.9694,1.0000,0.0016,0.9875,0.8038,0.9864,0.9449
