,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
AFHQ Cats,0.9933,0.8864,0.9912,0.9850,0.9402,0.0068,0.8864,0.9940,0.0060,0.1136,0.9756,0.8495,0.9761,0.9068,0.9983,0.9132,0.9560,0.9775,0.9558,1.0000,0.9132,0.9984,0.0016,0.0868,0.9762,0.6553,0.9738,0.9073,0.9976,0.9952,0.9964,0.9976,0.9964,0.0024,0.9952,0.9976,0.0024,0.0048,0.9990,0.9762,0.9933,0.9119
Original,0.6028,0.8864,0.6990,0.6548,0.6512,0.6296,0.8864,0.4160,0.5840,0.1136,0.9759,0.8902,0.9755,0.8906,0.6247,0.9136,0.6808,0.7899,0.6824,1.0000,0.9136,0.4512,0.5488,0.0864,0.9767,0.8901,0.9756,0.8868,0.6472,0.9952,0.7264,0.8224,0.7264,0.5424,0.9952,0.4576,0.5424,0.0048,0.9990,0.9893,0.9950,0.8212
AFHQ Dogs,0.9960,0.8864,0.9924,0.9884,0.9414,0.0036,0.8864,0.9964,0.0036,0.1136,0.9763,0.8813,0.9749,0.9104,0.9991,0.9128,0.9570,0.9783,0.9560,1.0000,0.9128,0.9992,0.0008,0.0872,0.9759,0.5885,0.9779,0.9103,0.9980,0.9948,0.9964,0.9977,0.9964,0.0020,0.9948,0.9980,0.0020,0.0052,0.9990,0.9890,0.9955,0.9298
SVHN,0.8903,0.8864,0.9294,0.8723,0.8886,0.1160,0.8864,0.8908,0.1092,0.1136,0.9765,0.8080,0.9756,0.8097,0.9303,0.9128,0.9230,0.9440,0.9222,1.0000,0.9128,0.9316,0.0684,0.0872,0.9764,0.8062,0.9724,0.8116,0.9464,0.9960,0.9698,0.9722,0.9698,0.0564,0.9960,0.9436,0.0564,0.0040,0.9990,0.9772,0.9923,0.8432
CIFAR100,0.9951,0.8864,0.9917,0.9866,0.9410,0.0068,0.8864,0.9956,0.0044,0.1136,0.9757,0.7085,0.9765,0.8048,0.9965,0.9136,0.9548,0.9765,0.9552,1.0000,0.9136,0.9968,0.0032,0.0864,0.9762,0.8804,0.9719,0.8049,0.9936,0.9940,0.9938,0.9953,0.9938,0.0064,0.9940,0.9936,0.0064,0.0060,0.9990,0.9627,0.9936,0.8503
Permuted,0.8461,0.8864,0.8547,0.7115,0.8626,0.1872,0.8864,0.8388,0.1612,0.1136,0.9763,0.8367,0.9793,0.8328,0.8296,0.9136,0.8632,0.8934,0.8630,1.0000,0.9136,0.8124,0.1876,0.0864,0.9761,0.8176,0.9733,0.8286,0.9912,0.9956,0.9934,0.9945,0.9934,0.0088,0.9956,0.9912,0.0088,0.0044,0.9990,0.9386,0.9940,0.9152
Scaled,0.8787,0.8864,0.9022,0.7974,0.8820,0.1372,0.8864,0.8776,0.1224,0.1136,0.9755,0.9978,0.9755,0.9979,0.8635,0.9132,0.8862,0.9113,0.8844,1.0000,0.9132,0.8556,0.1444,0.0868,0.9764,0.9988,0.9740,0.9982,1.0000,0.9940,0.9970,0.9985,0.9970,0.0000,0.9940,1.0000,0.0000,0.0060,0.9990,0.0000,0.9936,0.9990
Fake CIFAR-10,0.7610,0.8864,0.8594,0.8150,0.8040,0.2916,0.8864,0.7216,0.2784,0.1136,0.9762,0.9042,0.9763,0.9027,0.7825,0.9124,0.8300,0.8698,0.8294,1.0000,0.9124,0.7464,0.2536,0.0876,0.9765,0.9052,0.9685,0.9043,0.7983,0.9956,0.8720,0.8980,0.8720,0.2516,0.9956,0.7484,0.2516,0.0044,0.9990,0.9924,0.9905,0.8985
Stanford Dogs,0.9902,0.8864,0.9905,0.9873,0.9388,0.0096,0.8864,0.9912,0.0088,0.1136,0.9760,0.8149,0.9739,0.8408,0.9917,0.9128,0.9528,0.9741,0.9526,1.0000,0.9128,0.9924,0.0076,0.0872,0.9765,0.7863,0.9706,0.8407,0.9932,0.9948,0.9940,0.9953,0.9940,0.0068,0.9948,0.9932,0.0068,0.0052,0.9990,0.9970,0.9943,0.8626
No Normalization,0.9331,0.8864,0.9480,0.8790,0.9114,0.0708,0.8864,0.9364,0.0636,0.1136,0.9763,0.7223,0.9793,0.7366,0.9935,0.9120,0.9520,0.9742,0.9530,1.0000,0.9120,0.9940,0.0060,0.0880,0.9758,0.7513,0.9699,0.7362,0.9920,0.9948,0.9934,0.9947,0.9934,0.0080,0.9948,0.9920,0.0080,0.0052,0.9990,0.9577,0.9944,0.8454
