,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
Fake CIFAR-10,0.7834,0.9752,0.8547,0.7503,0.8528,0.2712,0.9752,0.7304,0.2696,0.0248,0.8204,0.6424,0.8073,0.6553,0.8069,0.9528,0.8598,0.8899,0.8624,0.2304,0.9528,0.7720,0.2280,0.0472,0.8182,0.6692,0.8172,0.6568,0.7858,0.9624,0.8500,0.8835,0.8500000000000001,0.2624,0.9624,0.7376,0.2624,0.0376,0.8273,0.8098,0.6605,0.5990
No Normalization,0.9818,0.9732,0.9849,0.9080,0.9776,0.0160,0.9732,0.9820,0.0180,0.0268,0.8200,0.4604,0.7944,0.4425,0.9992,0.9492,0.9730,0.9861,0.9742,1.0000,0.9492,0.9992,0.0008,0.0508,0.8193,0.4801,0.8295,0.4418,0.9950,0.9620,0.9786,0.9880,0.9786,0.0048,0.9620,0.9952,0.0048,0.0380,0.8258,0.4157,0.6952,0.4416
CIFAR-10,0.6204,0.9752,0.6764,0.5258,0.6892,0.5820,0.9752,0.4032,0.5968,0.0248,0.8183,0.6121,0.8000,0.6021,0.6579,0.9524,0.7304,0.8174,0.7286,1.0000,0.9524,0.5048,0.4952,0.0476,0.8214,0.6089,0.8258,0.6042,0.6302,0.9524,0.6968,0.8032,0.6968,0.5588,0.9524,0.4412,0.5588,0.0476,0.8633,0.7847,0.7552,0.4618
CIFAR100,0.9955,0.9736,0.9927,0.9599,0.9846,0.0068,0.9736,0.9956,0.0044,0.0264,0.8191,0.4135,0.8281,0.4306,0.9966,0.9496,0.9744,0.9863,0.9732,0.0032,0.9496,0.9968,0.0032,0.0504,0.8204,0.3933,0.8177,0.4311,0.9946,0.9652,0.9800,0.9886,0.98,0.0052,0.9652,0.9948,0.0052,0.0348,0.8258,0.5171,0.6720,0.4288
AFHQ Dogs,0.9798,0.9724,0.9796,0.8730,0.9762,0.0232,0.9724,0.9800,0.0200,0.0276,0.8189,0.5617,0.8283,0.5454,0.9962,0.9492,0.9734,0.9856,0.9728,0.0040,0.9492,0.9964,0.0036,0.0508,0.8209,0.6043,0.8217,0.5451,0.9893,0.9612,0.9754,0.9849,0.9754,0.0104,0.9612,0.9896,0.0104,0.0388,0.8261,0.4183,0.6605,0.5459
Scaled,0.7827,0.9752,0.8475,0.6124,0.8522,0.2552,0.9752,0.7292,0.2708,0.0248,0.8196,0.2032,0.8271,0.2052,1.0000,0.9488,0.9756,0.9878,0.9744,0.0000,0.9488,1.0000,0.0000,0.0512,0.8200,0.0000,0.8146,0.2060,0.6278,0.9640,0.6962,0.8049,0.6961999999999999,0.5716,0.9640,0.4284,0.5716,0.0360,0.8278,0.2100,0.6656,0.1985
Stanford Dogs,0.9910,0.9724,0.9922,0.9758,0.9818,0.0080,0.9724,0.9912,0.0088,0.0276,0.8197,0.4220,0.8232,0.4837,0.9945,0.9488,0.9710,0.9840,0.9718,1.0000,0.9488,0.9948,0.0052,0.0512,0.8197,0.4260,0.8157,0.4825,0.9918,0.9692,0.9806,0.9882,0.9806,0.0080,0.9692,0.9920,0.0080,0.0308,0.8249,0.6098,0.6687,0.4824
STL-10,0.6822,0.9764,0.7504,0.5804,0.7608,0.4464,0.9764,0.5452,0.4548,0.0236,0.8203,0.5480,0.7950,0.5455,0.7285,0.9508,0.7968,0.8509,0.7982,1.0000,0.9508,0.6456,0.3544,0.0492,0.8200,0.5500,0.8255,0.5383,0.6910,0.9644,0.7666,0.8366,0.7666,0.4312,0.9644,0.5688,0.4312,0.0356,0.8265,0.7037,0.6759,0.4242
Permuted,0.9963,0.9748,0.9941,0.9682,0.9856,0.0036,0.9748,0.9964,0.0036,0.0252,0.8194,0.6295,0.8336,0.5834,1.0000,0.9508,0.9754,0.9877,0.9754,0.0000,0.9508,1.0000,0.0000,0.0492,0.8207,0.0000,0.8388,0.5804,0.9979,0.9544,0.9762,0.9876,0.9762,0.0020,0.9544,0.9980,0.0020,0.0456,0.8630,0.3355,0.7730,0.6542
SVHN,0.9272,0.9732,0.9548,0.8375,0.9484,0.0740,0.9732,0.9236,0.0764,0.0268,0.8202,0.3992,0.8033,0.4004,0.9726,0.9500,0.9612,0.9737,0.9616,1.0000,0.9500,0.9732,0.0268,0.0500,0.8207,0.3883,0.8273,0.4008,0.9562,0.9688,0.9622,0.9703,0.9622,0.0444,0.9688,0.9556,0.0444,0.0312,0.8248,0.4967,0.6685,0.3960
AFHQ Cats,0.9947,0.9752,0.9945,0.9713,0.9850,0.0056,0.9752,0.9948,0.0052,0.0248,0.8201,0.6192,0.8243,0.6126,0.9992,0.9464,0.9732,0.9862,0.9728,1.0000,0.9464,0.9992,0.0008,0.0536,0.8175,0.6688,0.8289,0.6127,0.9967,0.9676,0.9822,0.9903,0.9822,0.0032,0.9676,0.9968,0.0032,0.0324,0.8249,0.5014,0.6854,0.6123
