,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
No Normalization,0.9943,0.9716,0.9974,0.9974,0.983,0.0048,0.9716,0.9944,0.0056,0.0284,0.9926,0.6869,0.9924,0.7112,0.9996,0.9608,0.9804,0.9900,0.9802000000000001,0.0008,0.9608,0.9996,0.0004,0.0392,0.9926,0.7629,0.9927,0.7117,0.9996,0.9572,0.9784,0.9891,0.9784,0.0004,0.9572,0.9996,0.0004,0.0428,0.9926,0.9926,0.9930,0.7115
Fake CIFAR-10,0.8024,0.9716,0.8772,0.8977,0.8661999999999999,0.2360,0.9716,0.7608,0.2392,0.0284,0.9926,0.8871,0.9925,0.8708,0.8068,0.9604,0.8636,0.8924,0.8652,0.2324,0.9604,0.7700,0.2300,0.0396,0.9926,0.8757,0.9926,0.8756,0.8125,0.9588,0.8688,0.8960,0.8688,0.2212,0.9588,0.7788,0.2212,0.0412,0.9926,0.9840,0.9931,0.8436
AFHQ Cats,0.9992,0.9716,0.9996,0.9996,0.9854,0.0008,0.9716,0.9992,0.0008,0.0284,0.9926,0.9620,0.9924,0.8825,0.9992,0.9624,0.9812,0.9904,0.9808,0.0008,0.9624,0.9992,0.0008,0.0376,0.9926,0.9544,0.9926,0.8825,0.9996,0.9572,0.9784,0.9891,0.9784,0.0004,0.9572,0.9996,0.0004,0.0428,0.9926,0.9753,0.9929,0.8825
AFHQ Dogs,1.0000,0.9716,1.0000,1.0000,0.9858,0.0000,0.9716,1.0000,0.0000,0.0284,0.9926,0.0000,0.9927,0.8225,0.9992,0.9608,0.9790,0.9893,0.9800000000000001,0.0008,0.9608,0.9992,0.0008,0.0392,0.9926,0.9755,0.9928,0.8225,0.9992,0.9548,0.9770,0.9883,0.9770,0.0008,0.9548,0.9992,0.0008,0.0452,0.9926,0.8191,0.9929,0.8225
SVHN,0.9518,0.9716,0.9763,0.8797,0.9612,0.0444,0.9716,0.9508,0.0492,0.0284,0.9926,0.7355,0.9926,0.7104,0.9828,0.9612,0.9716,0.9811,0.9722000000000001,0.0180,0.9612,0.9832,0.0168,0.0388,0.9926,0.6538,0.9927,0.7121,0.9786,0.9532,0.9662,0.9776,0.9662,0.0208,0.9532,0.9792,0.0208,0.0468,0.9926,0.9314,0.9929,0.7070
CIFAR100,0.9984,0.9716,0.9993,0.9993,0.985,0.0012,0.9716,0.9984,0.0016,0.0284,0.9926,0.8247,0.9923,0.7215,0.9971,0.9584,0.9786,0.9884,0.9778,0.0032,0.9584,0.9972,0.0028,0.0416,0.9926,0.7823,0.9926,0.7213,0.9971,0.9536,0.9754,0.9869,0.9754,0.0028,0.9536,0.9972,0.0028,0.0464,0.9926,0.9173,0.9931,0.7211
STL-10,0.7212,0.9716,0.8112,0.6657,0.798,0.3604,0.9716,0.6244,0.3756,0.0284,0.9926,0.8127,0.9929,0.8118,0.7481,0.9596,0.8164,0.8629,0.8182,0.3268,0.9596,0.6768,0.3232,0.0404,0.9926,0.8150,0.9926,0.8082,0.7669,0.9552,0.8324,0.8722,0.8324,0.2904,0.9552,0.7096,0.2904,0.0448,0.9926,0.9730,0.9930,0.7487
Scaled,1.0000,0.9716,1.0000,1.0000,0.9858,0.0000,0.9716,1.0000,0.0000,0.0284,0.9926,0.0000,0.9926,0.9890,0.9996,0.9568,0.9810,0.9904,0.9782000000000001,0.0004,0.9568,0.9996,0.0004,0.0432,0.9926,0.9473,0.9928,0.9890,0.9996,0.9596,0.9796,0.9897,0.9796,0.0004,0.9596,0.9996,0.0004,0.0404,0.9926,0.9915,0.9929,0.9890
Permuted,0.9951,0.9716,0.9976,0.9975,0.9834,0.0044,0.9716,0.9952,0.0048,0.0284,0.9927,0.8895,0.9925,0.8482,0.9760,0.9616,0.9680,0.9782,0.9689999999999999,0.0224,0.9616,0.9764,0.0236,0.0384,0.9926,0.8736,0.9927,0.8478,0.9839,0.9560,0.9702,0.9810,0.9702,0.0156,0.9560,0.9844,0.0156,0.0440,0.9926,0.8200,0.9930,0.8489
Original,0.6526,0.9716,0.7390,0.6611,0.7272000000000001,0.4996,0.9716,0.4828,0.5172,0.0284,0.9927,0.8526,0.9928,0.8586,0.6767,0.9620,0.7474,0.8272,0.7512,0.4680,0.9620,0.5404,0.4596,0.0380,0.9926,0.8583,0.9927,0.8593,0.6835,0.9544,0.7562,0.8303,0.7562,0.4420,0.9544,0.5580,0.4420,0.0456,0.9926,0.9785,0.9930,0.7602
Stanford Dogs,0.9930,0.9716,0.9968,0.9967,0.9824,0.0060,0.9716,0.9932,0.0068,0.0284,0.9926,0.6790,0.9929,0.7498,0.9934,0.9624,0.9766,0.9865,0.978,0.0068,0.9624,0.9936,0.0064,0.0376,0.9926,0.7545,0.9927,0.7492,0.9946,0.9564,0.9756,0.9864,0.9756,0.0052,0.9564,0.9948,0.0052,0.0436,0.9926,0.9870,0.9930,0.7484
