,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
Original,0.6198,0.9708,0.6949,0.5477,0.6876,0.5720,0.9708,0.4044,0.5956,0.0292,0.9297,0.7051,0.9394,0.7064,0.6148,0.9824,0.6830,0.8033,0.6834,0.6192,0.9824,0.3844,0.6156,0.0176,0.9295,0.7024,0.9314,0.7097,0.6482,0.9528,0.7178,0.8123,0.7178,0.5172,0.9528,0.4828,0.5172,0.0472,0.9350,0.8827,0.8203,0.5197
CIFAR100,0.9955,0.9708,0.9956,0.9863,0.9832,0.0036,0.9708,0.9956,0.0044,0.0292,0.9298,0.5354,0.9286,0.5177,0.9960,0.9860,0.9900,0.9938,0.9910,0.0048,0.9860,0.9960,0.0040,0.0140,0.9297,0.5950,0.9213,0.5177,0.9971,0.9528,0.9750,0.9867,0.9750,0.0028,0.9528,0.9972,0.0028,0.0472,0.9348,0.8434,0.8231,0.5171
Scaled,0.5026,0.9708,0.5016,0.6504,0.5050,0.9576,0.9708,0.0392,0.9608,0.0292,0.9296,0.9994,0.9329,1.0000,0.5038,0.9860,0.5060,0.7473,0.5074,0.9712,0.9860,0.0288,0.9712,0.0140,0.9296,0.9994,0.9574,1.0000,0.9421,0.9508,0.9462,0.9588,0.9462,0.0584,0.9508,0.9416,0.0584,0.0492,0.9345,1.0000,0.8341,0.9994
AFHQ Cats,0.9963,0.9708,0.9968,0.9934,0.9836,0.0036,0.9708,0.9964,0.0036,0.0292,0.9290,0.6587,0.9374,0.7186,0.9976,0.9856,0.9892,0.9943,0.9916,0.0012,0.9856,0.9976,0.0024,0.0144,0.9293,0.8180,0.9302,0.7186,0.9983,0.9524,0.9754,0.9873,0.9754,0.0016,0.9524,0.9984,0.0016,0.0476,0.9354,0.7347,0.8115,0.7187
No Normalization,0.9862,0.9708,0.9896,0.9382,0.9786,0.0124,0.9708,0.9864,0.0136,0.0292,0.9291,0.4462,0.9319,0.4740,0.9980,0.9828,0.9902,0.9948,0.9904,0.0012,0.9828,0.9980,0.0020,0.0172,0.9293,0.4810,0.9226,0.4737,0.9987,0.9560,0.9774,0.9884,0.9774,0.0012,0.9560,0.9988,0.0012,0.0440,0.9344,0.6949,0.8231,0.4737
Stanford Dogs,0.9914,0.9708,0.9935,0.9775,0.9812,0.0076,0.9708,0.9916,0.0084,0.0292,0.9295,0.6050,0.9153,0.5712,0.9915,0.9840,0.9882,0.9924,0.9878,0.0068,0.9840,0.9916,0.0084,0.0160,0.9295,0.6372,0.9418,0.5713,0.9937,0.9528,0.9734,0.9851,0.9734,0.0060,0.9528,0.9940,0.0060,0.0472,0.9350,0.7934,0.8194,0.5703
STL-10,0.6708,0.9708,0.7560,0.5814,0.7472,0.4560,0.9708,0.5236,0.4764,0.0292,0.9293,0.6439,0.9250,0.6531,0.6663,0.9832,0.7482,0.8301,0.7454,0.4860,0.9832,0.5076,0.4924,0.0168,0.9296,0.6548,0.9061,0.6526,0.7074,0.9564,0.7804,0.8428,0.7804,0.3956,0.9564,0.6044,0.3956,0.0436,0.9343,0.8553,0.8253,0.5103
SVHN,0.9127,0.9708,0.9519,0.8237,0.9390,0.0868,0.9708,0.9072,0.0928,0.0292,0.9296,0.4269,0.9174,0.4580,0.9430,0.9852,0.9576,0.9639,0.9628,0.0652,0.9852,0.9404,0.0596,0.0148,0.9296,0.4289,0.9587,0.4568,0.9614,0.9556,0.9586,0.9696,0.9586,0.0384,0.9556,0.9616,0.0384,0.0444,0.9349,0.6074,0.8143,0.4511
AFHQ Dogs,0.9926,0.9708,0.9946,0.9698,0.9818,0.0048,0.9708,0.9928,0.0072,0.0292,0.9294,0.7386,0.9275,0.6416,0.9939,0.9828,0.9898,0.9931,0.9884,0.0072,0.9828,0.9940,0.0060,0.0172,0.9294,0.6226,0.9403,0.6410,0.9971,0.9544,0.9758,0.9871,0.9758,0.0028,0.9544,0.9972,0.0028,0.0456,0.9351,0.5675,0.8139,0.6418
Permuted,1.0000,0.9708,0.9980,0.9990,0.9854,0.0000,0.9708,1.0000,0.0000,0.0292,0.9296,0.0000,0.9571,0.7715,0.9980,0.9848,0.9898,0.9944,0.9914,0.0020,0.9848,0.9980,0.0020,0.0152,0.9293,0.7864,0.9276,0.7715,0.9996,0.9476,0.9736,0.9867,0.9736,1.0000,0.9476,0.9996,0.0004,0.0524,0.9358,0.3601,0.8159,0.7716
Fake CIFAR-10,0.7814,0.9708,0.8585,0.7616,0.8496,0.2648,0.9708,0.7284,0.2716,0.0292,0.9297,0.7536,0.9277,0.7550,0.7813,0.9872,0.8522,0.8853,0.8554,0.2780,0.9872,0.7236,0.2764,0.0128,0.9295,0.7619,0.9317,0.7535,0.7939,0.9536,0.8530,0.8853,0.8530,0.2476,0.9536,0.7524,0.2476,0.0464,0.9349,0.9306,0.8204,0.6944
