,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
Stanford Dogs,0.9915,0.9792,0.9959,0.9957,0.9854,0.0080,0.9792,0.9916,0.0084,0.0208,1.0000,0.9733,1.0000,0.9242,0.9946,0.9596,0.9776,0.9874,0.9771999999999998,0.0052,0.9596,0.9948,0.0052,0.0404,1.0000,0.8575,1.0000,0.9244,0.9936,0.9360,0.9650,0.9808,0.9650,1.0000,0.9360,0.9940,0.0060,0.0640,1.0000,0.9775,0.9956,0.8976
AFHQ Dogs,0.9992,0.9792,0.9998,0.9997,0.9892000000000001,0.0004,0.9792,0.9992,0.0008,0.0208,1.0000,0.8060,1.0000,0.9493,0.9987,0.9572,0.9808,0.9901,0.978,0.0012,0.9572,0.9988,0.0012,0.0428,1.0000,0.9844,1.0000,0.9490,0.9991,0.9400,0.9696,0.9846,0.9696,1.0000,0.9400,0.9992,0.0008,0.0600,0.9999,0.9999,0.9963,0.9234
STL-10,0.6949,0.9792,0.8025,0.8499,0.7746000000000001,0.3920,0.9792,0.5700,0.4300,0.0208,1.0000,0.9366,1.0000,0.9388,0.7381,0.9592,0.8104,0.8594,0.8094,0.3384,0.9592,0.6596,0.3404,0.0408,1.0000,0.9335,1.0000,0.9356,0.7213,0.9328,0.7862,0.8439,0.7862,1.0000,0.9328,0.6396,0.3604,0.0672,0.9999,0.9980,0.9967,0.8792
CIFAR-10,0.6342,0.9792,0.7294,0.8137,0.7072,0.5328,0.9792,0.4352,0.5648,0.0208,1.0000,0.9523,1.0000,0.9498,0.6661,0.9608,0.7392,0.8231,0.7396,0.4828,0.9608,0.5184,0.4816,0.0392,1.0000,0.9546,1.0000,0.9517,0.6573,0.9312,0.7228,0.8114,0.7228,1.0000,0.9312,0.5144,0.4856,0.0688,0.9999,0.9976,0.9969,0.8812
AFHQ Cats,0.9980,0.9792,0.9991,0.9991,0.9886,0.0020,0.9792,0.9980,0.0020,0.0208,1.0000,0.9980,1.0000,0.9614,0.9983,0.9592,0.9796,0.9894,0.9788,0.0016,0.9592,0.9984,0.0016,0.0408,1.0000,0.9307,1.0000,0.9612,0.9987,0.9316,0.9652,0.9823,0.9652,1.0000,0.9316,0.9988,0.0012,0.0684,0.9999,0.9999,0.9966,0.9478
CIFAR100,0.9976,0.9792,0.9993,0.9993,0.9884000000000001,0.0016,0.9792,0.9976,0.0024,0.0208,1.0000,0.8436,1.0000,0.9060,0.9979,0.9616,0.9788,0.9890,0.9798,0.0016,0.9616,0.9980,0.0020,0.0384,1.0000,0.9282,1.0000,0.9062,0.9970,0.9296,0.9634,0.9809,0.9634,1.0000,0.9296,0.9972,0.0028,0.0704,1.0000,1.0000,0.9960,0.8769
Scaled,0.4947,0.9792,0.4694,0.7268,0.4896,1.0000,0.9792,0.0000,1.0000,0.0208,1.0000,1.0000,1.0000,0.0000,0.4968,0.9604,0.4946,0.7391,0.4938,0.9728,0.9604,0.0272,0.9728,0.0396,1.0000,1.0000,1.0000,1.0000,0.9300,0.9300,0.9300,0.9475,0.9300,1.0000,0.9300,0.9300,0.0700,0.0700,0.9999,0.9999,0.9970,0.9998
Permuted,0.9963,0.9792,0.9990,0.9990,0.9878,0.0024,0.9792,0.9964,0.0036,0.0208,1.0000,1.0000,1.0000,0.9817,0.9967,0.9608,0.9782,0.9880,0.9788,0.0040,0.9608,0.9968,0.0032,0.0392,1.0000,0.9998,1.0000,0.9816,1.0000,0.9392,0.9696,0.9848,0.9696,1.0000,0.9392,1.0000,0.0000,0.0608,0.9999,0.0000,0.9965,0.9719
No Normalization,0.9831,0.9792,0.9928,0.9925,0.9812000000000001,0.0140,0.9792,0.9832,0.0168,0.0208,1.0000,0.8441,1.0000,0.8982,0.9979,0.9596,0.9802,0.9897,0.9788,0.0016,0.9596,0.9980,0.0020,0.0404,1.0000,0.8500,1.0000,0.8974,0.9991,0.9304,0.9648,0.9822,0.9648,1.0000,0.9304,0.9992,0.0008,0.0696,0.9999,0.9996,0.9969,0.8893
Fake CIFAR-10,0.7938,0.9792,0.8739,0.8931,0.8624,0.2424,0.9792,0.7456,0.2544,0.0208,1.0000,0.9607,1.0000,0.9620,0.8062,0.9620,0.8642,0.8928,0.8654,0.2332,0.9620,0.7688,0.2312,0.0380,1.0000,0.9543,1.0000,0.9603,0.7917,0.9276,0.8418,0.8778,0.8418,1.0000,0.9276,0.7560,0.2440,0.0724,0.9999,0.9985,0.9970,0.9358
SVHN,0.9319,0.9792,0.9703,0.9703,0.9538,0.0624,0.9792,0.9284,0.0716,0.0208,1.0000,0.9090,1.0000,0.9075,0.9752,0.9608,0.9686,0.9781,0.9682000000000001,0.0240,0.9608,0.9756,0.0244,0.0392,1.0000,0.9083,1.0000,0.9060,0.9695,0.9400,0.9552,0.9697,0.9552,1.0000,0.9400,0.9704,0.0296,0.0600,0.9999,0.9706,0.9965,0.8458
