,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS       
AFHQ Cats,0,0,0,0,0,0,0.0049.0048,0.9044,0,0
AFHQ Dogs,0,0,0,0,0,0.0107,0.0096,0.9015,0,0
CIFAR-100,0,0,0,0,0,0.0049,0.0048,0.953,0,0
Fake CIFAR-10,0,0,0,0,0.2858,0.2780,0,0.9919,0,0
No Normalization,0,0,0,0,0.0132,0.0128,0,0.8657,0,0
Original,0,0,0,0,0.6579,0.6404,0,0.9837,0,0
Permuted,0,0,0,0,0.0029,0.0028,0,0.7837,0,0
Scaled,0,0,0,0,0.0646,0.0648,0,1,0,0
Stanford Dogs,0,0,0,0,0.0115,0.0112,0,0.9383,0,0
STL-10,0,0,0,0,0.5456,0.5308,0,0.9164,0,0
SVHN,0,0,0,0,0.1053,0.1037,0,0.9164,0,0
