,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack FPR@95%TPR,AugmentationAttack FPR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,GapAttack Precision,GapAttack Recall,GapAttack AUROC,GapAttack AUPR,GapAttack FPR@95%TPR,GapAttack FPR,GapAttack TP_MMPS,GapAttack FP_MMPS,GapAttack FN_MMPS,GapAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack FPR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS
Original,0.6210,0.9692,0.7039,0.5657,0.5620,0.5916,0.8201,0.6137,0.7915,0.6014,0.5898,0.9992,0.6504,0.7941,0.6984,0.6948,0.8199,0.6873,0.0000,0.4197,0.6591,0.9512,0.7300,0.8174,0.4900,0.4920,0.8199,0.6055,0.8150,0.6092
Permuted,0.6234,0.9708,0.6919,0.5388,0.5756,0.5864,0.8194,0.6028,0.8322,0.5998,0.5919,0.9996,0.6520,0.7947,0.6956,0.6892,0.8202,0.6899,0.0000,0.4179,0.6620,0.9520,0.7282,0.8162,1.0000,0.4860,0.8199,0.6033,0.8313,0.6020
Scaled,0.6200,0.9712,0.6963,0.5388,0.5592,0.5952,0.8216,0.6009,0.8127,0.6123,0.5894,0.9996,0.6534,0.7952,0.6928,0.6964,0.8199,0.6883,0.3180,0.4171,0.6613,0.9520,0.7276,0.8160,1.0000,0.4876,0.8201,0.6067,0.8257,0.6099
No Normalization,0.6208,0.9684,0.6963,0.5405,0.5624,0.5916,0.8192,0.6079,0.7954,0.6112,0.5897,0.9996,0.6536,0.7953,0.6924,0.6956,0.8209,0.6908,0.3430,0.4188,0.6611,0.9512,0.7308,0.8178,0.4888,0.4876,0.8210,0.6004,0.8298,0.6057
STL-10,0.6197,0.9652,0.6976,0.5561,0.5616,0.5924,0.8199,0.6109,0.8568,0.6004,0.5887,0.9996,0.6514,0.7945,0.6968,0.6984,0.8191,0.6873,0.0000,0.4177,0.6595,0.9508,0.7290,0.8167,1.0000,0.4908,0.8194,0.6040,0.8254,0.6053
CIFAR100,0.6228,0.9728,0.6977,0.5475,0.5700,0.5892,0.8205,0.6101,0.8407,0.6090,0.5899,1.0000,0.6548,0.7958,0.6904,0.6952,0.8207,0.6888,0.3705,0.4176,0.6605,0.9496,0.7298,0.8174,0.4916,0.4880,0.8199,0.6133,0.8142,0.6070
SVHN,0.6236,0.9708,0.7002,0.5596,0.5688,0.5860,0.8202,0.6069,0.7882,0.6021,0.5905,0.9996,0.6524,0.7950,0.6952,0.6932,0.8209,0.6900,0.3858,0.4184,0.6582,0.9484,0.7318,0.8181,1.0000,0.4924,0.8204,0.6040,0.8244,0.6054
Stanford Dogs,0.6242,0.9740,0.6981,0.5452,0.5588,0.5864,0.8193,0.6002,0.8527,0.5984,0.5902,0.9996,0.6526,0.7949,0.6944,0.6940,0.8205,0.6888,0.0000,0.4236,0.6600,0.9488,0.7322,0.8180,1.0000,0.4888,0.8195,0.6079,0.8270,0.6010
Fake CIFAR-10,0.6229,0.9700,0.6955,0.5404,0.5560,0.5872,0.8199,0.6035,0.8316,0.6032,0.5887,0.9996,0.6532,0.7952,0.6936,0.6984,0.8212,0.6895,0.3401,0.4182,0.6596,0.9504,0.7296,0.8171,1.0000,0.4904,0.8204,0.6122,0.8320,0.6011
AFHQ Dogs,0.6226,0.9708,0.6965,0.5405,0.5768,0.5884,0.8212,0.6054,0.8211,0.6026,0.5904,0.9996,0.6516,0.7946,0.6964,0.6936,0.8202,0.6898,0.3539,0.4201,0.6630,0.9492,0.7300,0.8174,0.4900,0.4824,0.8198,0.6065,0.8149,0.6095
AFHQ Cats,0.6234,0.9708,0.6981,0.5515,0.5704,0.5864,0.8205,0.6099,0.8396,0.6145,0.5901,0.9992,0.6526,0.7949,0.6944,0.6940,0.8195,0.6915,0.0000,0.4159,0.6576,0.9472,0.7318,0.8184,0.4880,0.4932,0.8201,0.5990,0.8118,0.6079
