,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack FPR@95%TPR,AugmentationAttack FPR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,GapAttack Precision,GapAttack Recall,GapAttack AUROC,GapAttack AUPR,GapAttack FPR@95%TPR,GapAttack FPR,GapAttack TP_MMPS,GapAttack FP_MMPS,GapAttack FN_MMPS,GapAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack FPR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS
Original,0.6160,0.9760,0.6898,0.5279,0.5756,0.6084,0.9997,0.9380,1.0000,0.9340,0.5881,1.0000,0.6498,0.7940,0.7004,0.7004,0.9997,0.9703,0.0000,0.8615,0.6567,0.9372,0.7230,0.8127,1.0000,0.4900,0.9997,0.9354,0.9991,0.9362
Permuted,0.6160,0.9760,0.6898,0.5279,0.5756,0.6084,0.9997,0.9345,0.9998,0.9391,0.5881,1.0000,0.6498,0.7940,0.7004,0.7004,0.9997,0.9703,0.0000,0.8615,0.6548,0.9380,0.7230,0.8124,1.0000,0.4944,0.9997,0.9387,1.0000,0.9351
Scaled,0.6160,0.9760,0.6898,0.5279,0.5756,0.6084,0.9997,0.9366,0.9977,0.9392,0.5881,1.0000,0.6498,0.7940,0.7004,0.7004,0.9997,0.9703,0.0000,0.8615,0.6567,0.9388,0.7212,0.8116,1.0000,0.4908,0.9997,0.9387,1.0000,0.9419
No Normalization,0.6160,0.9760,0.6898,0.5279,0.5756,0.6084,0.9997,0.9384,1.0000,0.9351,0.5881,1.0000,0.6498,0.7940,0.7004,0.7004,0.9997,0.9703,0.0000,0.8615,0.6560,0.9376,0.7214,0.8116,1.0000,0.4916,0.9997,0.9369,1.0000,0.9367
STL-10,0.6160,0.9760,0.6898,0.5279,0.5756,0.6084,0.9997,0.9349,1.0000,0.9385,0.5881,1.0000,0.6498,0.7940,0.7004,0.7004,0.9997,0.9703,0.0000,0.8615,0.6573,0.9400,0.7220,0.8118,1.0000,0.4900,0.9997,0.9351,0.9999,0.9389
CIFAR100,0.6160,0.9760,0.6898,0.5279,0.5756,0.6084,0.9997,0.9381,0.9976,0.9379,0.5881,1.0000,0.6498,0.7940,0.7004,0.7004,0.9997,0.9703,0.0000,0.8615,0.6551,0.9368,0.7236,0.8129,1.0000,0.4932,0.9997,0.9371,1.0000,0.9380
SVHN,0.6160,0.9760,0.6898,0.5279,0.5756,0.6084,0.9997,0.9371,0.9999,0.9425,0.5881,1.0000,0.6498,0.7940,0.7004,0.7004,0.9997,0.9703,0.0000,0.8615,0.6558,0.9396,0.7232,0.8126,1.0000,0.4932,0.9997,0.9399,0.9989,0.9374
Stanford Dogs,0.6160,0.9760,0.6898,0.5279,0.5756,0.6084,0.9997,0.9405,1.0000,0.9406,0.5881,1.0000,0.6498,0.7940,0.7004,0.7004,0.9997,0.9703,0.0000,0.8615,0.6544,0.9384,0.7214,0.8119,1.0000,0.4956,0.9997,0.9375,0.9999,0.9403
Fake CIFAR-10,0.6160,0.9760,0.6898,0.5279,0.5756,0.6084,0.9997,0.9362,1.0000,0.9353,0.5881,1.0000,0.6498,0.7940,0.7004,0.7004,0.9997,0.9703,0.0000,0.8615,0.6545,0.9372,0.7198,0.8110,1.0000,0.4948,0.9997,0.9407,0.9999,0.9368
AFHQ Dogs,0.6160,0.9760,0.6898,0.5279,0.5756,0.6084,0.9997,0.9387,0.9985,0.9377,0.5881,1.0000,0.6498,0.7940,0.7004,0.7004,0.9997,0.9703,0.0000,0.8615,0.6557,0.9384,0.7234,0.8127,1.0000,0.4928,0.9997,0.9423,0.9999,0.9386
AFHQ Cats,0.6160,0.9760,0.6898,0.5279,0.5756,0.6084,0.9997,0.9371,0.9978,0.9364,0.5881,1.0000,0.6498,0.7940,0.7004,0.7004,0.9997,0.9703,0.0000,0.8615,0.6572,0.9388,0.7206,0.8111,1.0000,0.4896,0.9997,0.9389,0.9999,0.9374
