,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
Scaled,0.9173,0.9756,0.9551,0.8132,0.9438,0.0824,0.9756,0.9120,0.0880,0.0244,0.9986,1.0000,0.9988,0.9997,0.8929,0.9436,0.9132,0.9311,0.9152,1.0000,0.9436,0.8868,0.1132,0.0564,0.9986,0.9999,0.9991,0.9997,0.8905,0.9436,0.9138,0.9312,0.9138,1.0000,0.9436,0.8840,0.1160,0.0564,0.9988,1.0000,0.9966,0.9996
No Normalization,0.9557,0.9756,0.9779,0.8763,0.9652,0.0392,0.9756,0.9548,0.0452,0.0244,0.9987,0.6523,0.9985,0.6537,0.9958,0.9408,0.9686,0.9834,0.9684,1.0000,0.9408,0.9960,0.0040,0.0592,0.9986,0.6792,0.9990,0.6539,0.9907,0.9376,0.9644,0.9798,0.9644,1.0000,0.9376,0.9912,0.0088,0.0624,0.9988,0.9105,0.9969,0.6517
STL-10,0.7127,0.9756,0.8047,0.6842,0.7912,0.3724,0.9756,0.6068,0.3932,0.0244,0.9986,0.8798,0.9991,0.8767,0.7737,0.9396,0.8316,0.8713,0.8324,1.0000,0.9396,0.7252,0.2748,0.0604,0.9986,0.8756,0.9987,0.8712,0.7611,0.9416,0.8230,0.8659,0.8230,1.0000,0.9416,0.7044,0.2956,0.0584,0.9988,0.9910,0.9968,0.8259
AFHQ Dogs,0.9951,0.9756,0.9974,0.9670,0.9854,0.0044,0.9756,0.9952,0.0048,0.0244,0.9987,0.8989,0.9986,0.8761,0.9962,0.9412,0.9682,0.9832,0.9688,1.0000,0.9412,0.9964,0.0036,0.0588,0.9986,0.9062,0.9987,0.8758,0.9975,0.9416,0.9696,0.9841,0.9696,1.0000,0.9416,0.9976,0.0024,0.0584,0.9988,0.9891,0.9969,0.8756
Fake CIFAR-10,0.7999,0.9756,0.8750,0.8141,0.8658,0.2372,0.9756,0.7560,0.2440,0.0244,0.9987,0.9168,0.9991,0.9110,0.8273,0.9408,0.8704,0.8976,0.8722,1.0000,0.9408,0.8036,0.1964,0.0592,0.9986,0.9189,0.9988,0.9114,0.8216,0.9448,0.8698,0.8970,0.8698,1.0000,0.9448,0.7948,0.2052,0.0552,0.9988,0.9962,0.9968,0.8896
AFHQ Cats,0.9975,0.9756,0.9991,0.9990,0.9866,0.0020,0.9756,0.9976,0.0024,0.0244,0.9986,0.8727,0.9987,0.8931,0.9983,0.9428,0.9682,0.9836,0.9706,1.0000,0.9428,0.9984,0.0016,0.0572,0.9986,0.7565,0.9986,0.8926,0.9983,0.9372,0.9678,0.9834,0.9678,1.0000,0.9372,0.9984,0.0016,0.0628,0.9988,0.9968,0.9969,0.8925
SVHN,0.9309,0.9756,0.9634,0.8634,0.9516,0.0704,0.9756,0.9276,0.0724,0.0244,0.9987,0.8019,0.9983,0.7756,0.9739,0.9404,0.9576,0.9722,0.9576,1.0000,0.9404,0.9748,0.0252,0.0596,0.9986,0.7730,0.9988,0.7744,0.9667,0.9400,0.9538,0.9683,0.9538,1.0000,0.9400,0.9676,0.0324,0.0600,0.9988,0.9462,0.9971,0.7685
CIFAR-10,0.6439,0.9756,0.7267,0.6206,0.7180,0.5204,0.9756,0.4604,0.5396,0.0244,0.9986,0.8925,0.9987,0.9003,0.6900,0.9400,0.7602,0.8314,0.7588,1.0000,0.9400,0.5776,0.4224,0.0600,0.9986,0.9037,0.9988,0.8994,0.6869,0.9400,0.7558,0.8285,0.7558,1.0000,0.9400,0.5716,0.4284,0.0600,0.9988,0.9933,0.9970,0.8294
Permuted,0.9870,0.9756,0.9935,0.9378,0.9814,0.0116,0.9756,0.9872,0.0128,0.0244,0.9986,0.9694,0.9988,0.9577,0.9953,0.9400,0.9684,0.9830,0.9678,1.0000,0.9400,0.9956,0.0044,0.0600,0.9986,0.9021,0.9989,0.9577,0.9954,0.9440,0.9698,0.9837,0.9698,1.0000,0.9440,0.9956,0.0044,0.0560,0.9988,0.9760,0.9968,0.9580
CIFAR100,0.9947,0.9756,0.9978,0.9976,0.9852,0.0052,0.9756,0.9948,0.0052,0.0244,0.9986,0.8959,0.9982,0.8513,0.9970,0.9428,0.9676,0.9830,0.9700,1.0000,0.9428,0.9972,0.0028,0.0572,0.9986,0.8129,0.9988,0.8509,0.9966,0.9404,0.9686,0.9834,0.9686,1.0000,0.9404,0.9968,0.0032,0.0596,0.9988,0.9812,0.9967,0.8507
