,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
AFHQ Cats,0.9954,0.9624,0.9965,0.9874,0.9790000000000001,0.0048,0.9624,0.9956,0.0044,0.0376,0.6008,0.4703,0.6220,0.4574,0.9977,0.8848,0.9416,0.9702,0.9414,1.0000,0.8848,0.9980,0.0020,0.1152,0.6001,0.4635,0.6064,0.4587,0.9966,0.9344,0.9656,0.9819,0.9656,1.0000,0.9344,0.9968,0.0032,0.0656,0.5187,0.3915,0.4321,0.4131
Original,0.6682,0.9592,0.7673,0.6930,0.7414000000000001,0.4628,0.9592,0.5236,0.4764,0.0408,0.6019,0.5026,0.5962,0.5021,0.7003,0.8840,0.7506,0.8198,0.7528,1.0000,0.8840,0.6216,0.3784,0.1160,0.6006,0.4958,0.5993,0.4977,0.6736,0.9592,0.7472,0.8266,0.7472,0.4648,0.9592,0.5352,0.4648,0.0408,0.5065,0.5473,0.4460,0.3511
SVHN,0.9622,0.9584,0.9747,0.9320,0.9604,0.0372,0.9584,0.9624,0.0376,0.0416,0.5993,0.2809,0.6227,0.2805,0.9910,0.8828,0.9358,0.9653,0.9374,1.0000,0.8828,0.9920,0.0080,0.1172,0.6012,0.2759,0.5974,0.2823,0.9770,0.9352,0.9566,0.9723,0.9566,1.0000,0.9352,0.9780,0.0220,0.0648,0.5182,0.3312,0.4355,0.2717
CIFAR100,0.9954,0.9620,0.9980,0.9961,0.9788,0.0036,0.9620,0.9956,0.0044,0.0380,0.6002,0.4084,0.6015,0.3950,0.9968,0.8840,0.9402,0.9693,0.9406,1.0000,0.8840,0.9972,0.0028,0.1160,0.5990,0.3700,0.6148,0.3951,0.9979,0.9332,0.9656,0.9822,0.9656,1.0000,0.9332,0.9980,0.0020,0.0668,0.5199,0.3343,0.4314,0.3540
STL-10,0.7414,0.9656,0.8116,0.6983,0.8144,0.3392,0.9656,0.6632,0.3368,0.0344,0.5998,0.4519,0.6010,0.4551,0.7789,0.8808,0.8170,0.8608,0.8154,1.0000,0.8808,0.7500,0.2500,0.1192,0.6000,0.4480,0.5934,0.4557,0.7491,0.9412,0.8130,0.8599,0.8130,1.0000,0.9412,0.6848,0.3152,0.0588,0.5203,0.5323,0.4393,0.3469
Scaled,0.9170,0.9640,0.9496,0.8879,0.9384,0.0848,0.9640,0.9128,0.0872,0.0360,0.5977,0.8935,0.5986,0.8962,0.8969,0.8876,0.8920,0.9199,0.8928,1.0000,0.8876,0.8980,0.1020,0.1124,0.6013,0.9054,0.5866,0.8940,0.8889,0.9408,0.9116,0.9296,0.9116,1.0000,0.9408,0.8824,0.1176,0.0592,0.5195,0.9000,0.4233,0.8928
Fake CIFAR-10,0.8163,0.9632,0.8895,0.8240,0.8732,0.2184,0.9632,0.7832,0.2168,0.0368,0.6012,0.5294,0.6039,0.5321,0.8307,0.8832,0.8520,0.8864,0.8516,1.0000,0.8832,0.8200,0.1800,0.1168,0.5984,0.5181,0.6042,0.5309,0.8130,0.9444,0.8636,0.8926,0.8636,1.0000,0.9444,0.7828,0.2172,0.0556,0.5172,0.6053,0.4553,0.4438
AFHQ Dogs,0.9963,0.9584,0.9985,0.9941,0.9774,0.0020,0.9584,0.9964,0.0036,0.0416,0.6016,0.4708,0.6057,0.4373,0.9995,0.8804,0.9416,0.9707,0.9400000000000001,1.0000,0.8804,0.9996,0.0004,0.1196,0.6016,0.3023,0.5831,0.4352,0.9958,0.9396,0.9678,0.9828,0.9678,1.0000,0.9396,0.9960,0.0040,0.0604,0.5185,0.3502,0.4387,0.3947
No Normalization,0.9917,0.9560,0.9955,0.9799,0.974,0.0052,0.9560,0.9920,0.0080,0.0440,0.5995,0.2195,0.5991,0.2255,1.0000,0.8848,0.9442,0.9721,0.9424,1.0000,0.8848,1.0000,0.0000,0.1152,0.6005,0.0000,0.6105,0.2259,0.9991,0.9364,0.9678,0.9837,0.9678,1.0000,0.9364,0.9992,0.0008,0.0636,0.5179,0.2286,0.4508,0.2234
Permuted,0.9938,0.9604,0.9977,0.9945,0.9772000000000001,0.0036,0.9604,0.9940,0.0060,0.0396,0.6013,0.5604,0.6121,0.5936,0.9982,0.8832,0.9396,0.9694,0.9408,1.0000,0.8832,0.9984,0.0016,0.1168,0.5990,0.7787,0.5891,0.5929,0.9979,0.9520,0.9750,0.9870,0.9750,0.0020,0.9520,0.9980,0.0020,0.0480,0.5048,0.3844,0.4764,0.5917
