,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
AFHQ Dogs,0.9996,0.9208,0.9997,0.9996,0.9602,0.0008,0.9208,0.9996,0.0004,0.0792,0.9917,0.9570,0.9915,0.6980,1.0000,0.9248,0.9626,0.9812,0.9624,1.0000,0.9248,1.0000,0.0000,0.0752,0.9917,0.0000,0.9917,0.6979,0.9992,0.9812,0.9902,0.9949,0.9902,0.0008,0.9812,0.9992,0.0008,0.0188,0.9917,0.6553,0.9911,0.6979
CIFAR-10,0.7079,0.9208,0.8037,0.8292,0.7704000000000001,0.4000,0.9208,0.6200,0.3800,0.0792,0.9917,0.7332,0.9916,0.7479,0.7757,0.9212,0.8340,0.8726,0.8274,1.0000,0.9212,0.7336,0.2664,0.0788,0.9917,0.7466,0.9916,0.7400,0.7729,0.9804,0.8462,0.8816,0.8462,0.2880,0.9804,0.7120,0.2880,0.0196,0.9917,0.9569,0.9910,0.6544
Permuted,0.9905,0.9208,0.9967,0.9961,0.9560000000000001,0.0096,0.9208,0.9912,0.0088,0.0792,0.9917,0.7558,0.9916,0.7903,0.9978,0.9252,0.9598,0.9792,0.9616,1.0000,0.9252,0.9980,0.0020,0.0748,0.9917,0.9110,0.9918,0.7908,0.9968,0.9824,0.9896,0.9940,0.9896,0.0032,0.9824,0.9968,0.0032,0.0176,0.9917,0.8484,0.9913,0.7908
CIFAR100,0.9987,0.9208,0.9998,0.9998,0.9598,0.0020,0.9208,0.9988,0.0012,0.0792,0.9917,0.4773,0.9914,0.6525,0.9996,0.9264,0.9630,0.9814,0.9630000000000001,1.0000,0.9264,0.9996,0.0004,0.0736,0.9917,0.8906,0.9917,0.6524,0.9992,0.9820,0.9906,0.9951,0.9906,0.0008,0.9820,0.9992,0.0008,0.0180,0.9917,0.9258,0.9913,0.6522
Fake CIFAR-10,0.8295,0.9208,0.9018,0.9005,0.8658,0.2004,0.9208,0.8108,0.1892,0.0792,0.9917,0.7712,0.9917,0.7635,0.8640,0.9252,0.8882,0.9119,0.8898,1.0000,0.9252,0.8544,0.1456,0.0748,0.9917,0.7733,0.9919,0.7594,0.8658,0.9808,0.9144,0.9281,0.9144,0.1520,0.9808,0.8480,0.1520,0.0192,0.9917,0.9636,0.9911,0.7260
SVHN,0.9520,0.9208,0.9797,0.9766,0.9372,0.0532,0.9208,0.9536,0.0464,0.0792,0.9917,0.6137,0.9916,0.6080,0.9931,0.9224,0.9624,0.9797,0.958,1.0000,0.9224,0.9936,0.0064,0.0776,0.9917,0.7029,0.9915,0.6064,0.9875,0.9796,0.9836,0.9886,0.9836,0.0124,0.9796,0.9876,0.0124,0.0204,0.9917,0.8624,0.9909,0.6035
AFHQ Cats,0.9987,0.9208,0.9994,0.9992,0.9598,0.0012,0.9208,0.9988,0.0012,0.0792,0.9917,0.6767,0.9916,0.7506,0.9991,0.9252,0.9626,0.9810,0.9622,1.0000,0.9252,0.9992,0.0008,0.0748,0.9917,0.4825,0.9916,0.7504,0.9988,0.9812,0.9900,0.9947,0.9900,0.0012,0.9812,0.9988,0.0012,0.0188,0.9917,0.9098,0.9914,0.7504
Scaled,0.9540,0.9208,0.9793,0.9762,0.9382,0.0504,0.9208,0.9556,0.0444,0.0792,0.9917,1.0000,0.9915,0.9982,0.8898,0.9236,0.9032,0.9246,0.9046000000000001,1.0000,0.9236,0.8856,0.1144,0.0764,0.9917,0.9994,0.9917,0.9984,0.8907,0.9816,0.9306,0.9408,0.9306,0.1204,0.9816,0.8796,0.1204,0.0184,0.9917,0.9976,0.9909,0.9983
No Normalization,0.9829,0.9208,0.9926,0.8935,0.9524,0.0188,0.9208,0.9840,0.0160,0.0792,0.9917,0.6157,0.9918,0.6254,1.0000,0.9244,0.9622,0.9811,0.9621999999999999,1.0000,0.9244,1.0000,0.0000,0.0756,0.9917,0.0000,0.9919,0.6260,0.9988,0.9844,0.9916,0.9955,0.9916,0.0012,0.9844,0.9988,0.0012,0.0156,0.9917,0.8768,0.9907,0.6257
STL-10,0.7881,0.9208,0.8802,0.7528,0.8366,0.2684,0.9208,0.7524,0.2476,0.0792,0.9917,0.6962,0.9918,0.6962,0.8532,0.9252,0.8812,0.9064,0.883,1.0000,0.9252,0.8408,0.1592,0.0748,0.9917,0.6929,0.9917,0.6930,0.8453,0.9856,0.9026,0.9190,0.9026,0.1804,0.9856,0.8196,0.1804,0.0144,0.9917,0.9542,0.9908,0.6395
Stanford Dogs,0.9931,0.9208,0.9972,0.9967,0.9572,0.0064,0.9208,0.9936,0.0064,0.0792,0.9917,0.6293,0.9915,0.6687,0.9970,0.9272,0.9608,0.9796,0.9622,1.0000,0.9272,0.9972,0.0028,0.0728,0.9917,0.6753,0.9917,0.6687,0.9963,0.9820,0.9892,0.9937,0.9892,0.0036,0.9820,0.9964,0.0036,0.0180,0.9917,0.9230,0.9913,0.6678
