,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
Permuted,0.9938,0.9624,0.9968,0.9844,0.9782,0.0060,0.9624,0.9940,0.0060,0.0376,0.7321,0.9079,0.7265,0.7945,0.9979,0.9644,0.9822,0.9906,0.9812,0.0020,0.9644,0.9980,0.0020,0.0356,0.7317,0.7728,0.7351,0.7940,0.9979,0.9380,0.9680,0.9834,0.9680,1.0000,0.9380,0.9980,0.0020,0.0620,0.7323,0.5346,0.7288,0.7946
Scaled,0.9169,0.9624,0.9531,0.8897,0.9376,0.0864,0.9624,0.9128,0.0872,0.0376,0.7318,0.9956,0.7654,0.9980,0.8950,0.9648,0.9252,0.9383,0.9258,0.1136,0.9648,0.8868,0.1132,0.0352,0.7320,0.9959,0.7357,0.9980,0.8901,0.9424,0.9130,0.9306,0.9130,1.0000,0.9424,0.8836,0.1164,0.0576,0.7321,0.9999,0.7307,0.9977
Stanford Dogs,0.9918,0.9624,0.9960,0.9922,0.9772,0.0076,0.9624,0.9920,0.0080,0.0376,0.7317,0.4714,0.7430,0.4969,0.9938,0.9660,0.9802,0.9885,0.9800,0.0060,0.9660,0.9940,0.0060,0.0340,0.7317,0.5970,0.7457,0.4964,0.9933,0.9424,0.9680,0.9822,0.9680,1.0000,0.9424,0.9936,0.0064,0.0576,0.7324,0.7606,0.7269,0.4948
AFHQ Dogs,0.9930,0.9624,0.9966,0.9846,0.9778,0.0068,0.9624,0.9932,0.0068,0.0376,0.7321,0.4912,0.7291,0.5408,0.9959,0.9660,0.9798,0.9890,0.9810,0.0032,0.9660,0.9960,0.0040,0.0340,0.7316,0.5184,0.7434,0.5408,0.9966,0.9396,0.9682,0.9832,0.9682,1.0000,0.9396,0.9968,0.0032,0.0604,0.7310,0.5393,0.7487,0.5411
STL-10,0.7148,0.9624,0.7977,0.6580,0.7892,0.3780,0.9624,0.6160,0.3840,0.0376,0.7321,0.5525,0.7386,0.5525,0.7616,0.9660,0.8340,0.8736,0.8318,0.2976,0.9660,0.6976,0.3024,0.0340,0.7321,0.5530,0.7432,0.5516,0.7453,0.9412,0.8098,0.8580,0.8098,1.0000,0.9412,0.6784,0.3216,0.0588,0.7323,0.7327,0.7278,0.4643
No Normalization,0.9651,0.9624,0.9804,0.9217,0.9638,0.0336,0.9624,0.9652,0.0348,0.0376,0.7322,0.2762,0.6832,0.2744,0.9983,0.9648,0.9826,0.9909,0.9816,0.0016,0.9648,0.9984,0.0016,0.0352,0.7317,0.2485,0.7432,0.2744,0.9945,0.9400,0.9674,0.9822,0.9674,1.0000,0.9400,0.9948,0.0052,0.0600,0.7316,0.3369,0.7399,0.2741
Fake CIFAR-10,0.8031,0.9624,0.8734,0.7910,0.8632,0.2344,0.9624,0.7640,0.2360,0.0376,0.7315,0.6400,0.7238,0.6402,0.8203,0.9660,0.8794,0.9032,0.8772,0.2064,0.9660,0.7884,0.2116,0.0340,0.7317,0.6467,0.7412,0.6380,0.8096,0.9352,0.8576,0.8886,0.8576,1.0000,0.9352,0.7800,0.2200,0.0648,0.7321,0.8039,0.7311,0.5936
CIFAR100,0.9963,0.9624,0.9984,0.9947,0.9794,0.0036,0.9624,0.9964,0.0036,0.0376,0.7325,0.4380,0.7306,0.4838,0.9983,0.9672,0.9830,0.9911,0.9828,0.0016,0.9672,0.9984,0.0016,0.0328,0.7314,0.7483,0.7521,0.4836,0.9979,0.9364,0.9672,0.9830,0.9672,1.0000,0.9364,0.9980,0.0020,0.0636,0.7307,0.4647,0.7524,0.4837
AFHQ Cats,0.9926,0.9624,0.9967,0.9867,0.9776,0.0068,0.9624,0.9928,0.0072,0.0376,0.7319,0.5799,0.7311,0.5694,0.9959,0.9672,0.9810,0.9896,0.9816,0.0032,0.9672,0.9960,0.0040,0.0328,0.7314,0.5763,0.7459,0.5689,0.9953,0.9412,0.9684,0.9830,0.9684,1.0000,0.9412,0.9956,0.0044,0.0588,0.7323,0.5413,0.7285,0.5693
SVHN,0.9279,0.9624,0.9595,0.8794,0.9438,0.0732,0.9624,0.9252,0.0748,0.0376,0.7322,0.3507,0.7200,0.3561,0.9636,0.9648,0.9632,0.9721,0.9642,0.0380,0.9648,0.9636,0.0364,0.0352,0.7318,0.3512,0.7406,0.3560,0.9550,0.9420,0.9488,0.9630,0.9488,1.0000,0.9420,0.9556,0.0444,0.0580,0.7329,0.4210,0.7186,0.3530
CIFAR-10,0.6456,0.9624,0.7181,0.6202,0.7170,0.5236,0.9624,0.4716,0.5284,0.0376,0.7319,0.6054,0.7253,0.6093,0.6857,0.9652,0.7580,0.8325,0.7614,0.4492,0.9652,0.5576,0.4424,0.0348,0.7316,0.6147,0.7470,0.6055,0.6841,0.9400,0.7530,0.8271,0.7530,1.0000,0.9400,0.5660,0.4340,0.0600,0.7322,0.7639,0.7290,0.4865
