,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
SVHN,0.9219,0.9720,0.9552,0.8888,0.9448,0.0772,0.9720,0.9176,0.0824,0.0280,0.9994,0.8279,0.9995,0.8250,0.9627,0.9508,0.9566,0.9688,0.9570000000000001,0.0372,0.9508,0.9632,0.0368,0.0492,0.9994,0.8642,0.9992,0.8270,0.9679,0.9416,0.9552,0.9694,0.9552,1.0000,0.9416,0.9688,0.0312,0.0584,1.0000,0.9924,1.0000,0.8996
Stanford Dogs,0.9894,0.9720,0.9952,0.9899,0.9808,0.0092,0.9720,0.9896,0.0104,0.0280,0.9994,0.8754,0.9992,0.8967,0.9904,0.9484,0.9702,0.9827,0.9696,1.0000,0.9484,0.9908,0.0092,0.0516,0.9994,0.8781,0.9994,0.8968,0.9929,0.9500,0.9716,0.9839,0.9716,0.0068,0.9500,0.9932,0.0068,0.0500,1.0000,1.0000,1.0000,0.9434
STL-10,0.7168,0.9720,0.8020,0.7001,0.794,0.3756,0.9720,0.6160,0.3840,0.0280,0.9994,0.9108,0.9996,0.9120,0.7510,0.9484,0.8176,0.8629,0.817,1.0000,0.9484,0.6856,0.3144,0.0516,0.9994,0.9130,0.9994,0.9128,0.7677,0.9412,0.8282,0.8691,0.8282,1.0000,0.9412,0.7152,0.2848,0.0588,1.0000,0.9994,1.0000,0.9350
CIFAR100,0.9951,0.9720,0.9973,0.9925,0.9836,0.0044,0.9720,0.9952,0.0048,0.0280,0.9994,0.9325,0.9994,0.8958,0.9958,0.9512,0.9746,0.9862,0.9736,0.0040,0.9512,0.9960,0.0040,0.0488,0.9994,0.9191,0.9995,0.8963,0.9954,0.9420,0.9688,0.9832,0.9688,1.0000,0.9420,0.9956,0.0044,0.0580,1.0000,0.9956,1.0000,0.9483
AFHQ Cats,0.9914,0.9720,0.9950,0.9809,0.9818,0.0084,0.9720,0.9916,0.0084,0.0280,0.9994,0.9112,0.9995,0.9217,0.9937,0.9496,0.9712,0.9840,0.9718,1.0000,0.9496,0.9940,0.0060,0.0504,0.9994,0.9015,0.9995,0.9210,0.9975,0.9424,0.9700,0.9843,0.9700,1.0000,0.9424,0.9976,0.0024,0.0576,1.0000,0.9999,1.0000,0.9599
Original,0.6396,0.9720,0.7289,0.6626,0.7121999999999999,0.5348,0.9720,0.4524,0.5476,0.0280,0.9994,0.9353,0.9991,0.9336,0.6684,0.9508,0.7410,0.8226,0.7396,0.4688,0.9508,0.5284,0.4716,0.0492,0.9994,0.9364,0.9995,0.9307,0.6869,0.9400,0.7558,0.8285,0.7558,1.0000,0.9400,0.5716,0.4284,0.0600,1.0000,0.9988,1.0000,0.9442
Fake CIFAR-10,0.7975,0.9720,0.8736,0.8057,0.8626,0.2436,0.9720,0.7532,0.2468,0.0280,0.9994,0.9440,0.9995,0.9420,0.8137,0.9488,0.8672,0.8950,0.8658,0.2156,0.9488,0.7828,0.2172,0.0512,0.9994,0.9351,0.9993,0.9422,0.8295,0.9436,0.8748,0.9006,0.8748,1.0000,0.9436,0.8060,0.1940,0.0564,1.0000,0.9997,1.0000,0.9615
Permuted,0.9959,0.9720,0.9962,0.9831,0.984,0.0040,0.9720,0.9960,0.0040,0.0280,0.9994,0.9856,0.9993,0.9647,1.0000,0.9492,0.9740,0.9870,0.9746,1.0000,0.9492,1.0000,0.0000,0.0508,0.9994,0.0000,0.9995,0.9647,0.9975,0.9416,0.9696,0.9841,0.9696,1.0000,0.9416,0.9976,0.0024,0.0584,1.0000,0.9978,1.0000,0.9860
No Normalization,0.9567,0.9720,0.9726,0.9120,0.964,0.0432,0.9720,0.9560,0.0440,0.0280,0.9994,0.8137,0.9993,0.7628,0.9958,0.9500,0.9738,0.9859,0.973,0.0036,0.9500,0.9960,0.0040,0.0500,0.9994,0.8743,0.9993,0.7633,0.9954,0.9488,0.9722,0.9849,0.9722,1.0000,0.9488,0.9956,0.0044,0.0512,1.0000,0.9658,1.0000,0.8547
AFHQ Dogs,0.9967,0.9720,0.9982,0.9940,0.9843999999999999,0.0032,0.9720,0.9968,0.0032,0.0280,0.9994,0.9449,0.9993,0.9165,0.9966,0.9472,0.9742,0.9863,0.972,0.0028,0.9472,0.9968,0.0032,0.0528,0.9994,0.9728,0.9995,0.9164,0.9983,0.9424,0.9704,0.9848,0.9704,1.0000,0.9424,0.9984,0.0016,0.0576,1.0000,1.0000,1.0000,0.9542
Scaled,0.9146,0.9720,0.9506,0.8881,0.9406,0.0892,0.9720,0.9092,0.0908,0.0280,0.9994,1.0000,0.9994,0.9996,0.8929,0.9508,0.9182,0.9341,0.9184,0.1136,0.9508,0.8860,0.1140,0.0492,0.9994,0.9999,0.9994,0.9996,0.8917,0.9424,0.9140,0.9315,0.9140,1.0000,0.9424,0.8856,0.1144,0.0576,1.0000,1.0000,1.0000,0.9998
