,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack FPR@95%TPR,AugmentationAttack FPR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,GapAttack Precision,GapAttack Recall,GapAttack AUROC,GapAttack AUPR,GapAttack FPR@95%TPR,GapAttack FPR,GapAttack TP_MMPS,GapAttack FP_MMPS,GapAttack FN_MMPS,GapAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack FPR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS
AFHQ Cats,0,0,0,0,0,0,0,0.9607,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0,0,0,0,0.9147,0,0
AFHQ Dogs,0,0,0,0,0,0,0,0.9687,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0,0,0,0,0.9934,0,0
CIFAR-100,0,0,0,0,0,0,0,0.9655,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0,0,0,0,0.97,0,0
Fake CIFAR-10,0,0,0,0,0,0,0,0.9644,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0,0,0,0,0.9617,0,0
No Normalization,0,0,0,0,0,0,0,0.9658,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0,0,0,0,0.9714,0,0
Original,0,0,0,0,0,0,0,0.9596,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0,0,0,0,0.9587,0,0
Permuted,0,0,0,0,0,0,0,0.935,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0,0,0,0,0.9053,0,0
Scaled,0,0,0,0,0,0,0,0.9635,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0,0,0,0,0.967,0,0
Stanford Dogs,0,0,0,0,0,0,0,0.9613,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0,0,0,0,0.97,0,0
STL-10,0,0,0,0,0,0,0,0.9635,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0,0,0,0,0.967,0,0
SVHN,0,0,0,0,0,0,0,0.9668,0,0,0,0,0,0,0,0,0,0.9839,0,0,0,0,0,0,0,0,0,0.9714,0,0
